DEBUG: Received msg type: tea.WindowSizeMsg, value: {Width:217 Height:68}
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: up
DEBUG: Received msg type: tea.KeyMsg, value: up
DEBUG: Received msg type: tea.KeyMsg, value: up
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: up
DEBUG: Received msg type: tea.KeyMsg, value: right
DEBUG: Received msg type: tea.KeyMsg, value: left
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: up
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: down
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgdown
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: pgup
DEBUG: Received msg type: tea.KeyMsg, value: q
